,precision,recall,f1-score,support
H,0.7223230490018149,0.995,0.8370136698212408,800.0
I,0.7725017717930546,0.9083333333333333,0.834929145921103,1200.0
O,0.9316326530612244,0.7608333333333334,0.8376146788990826,1200.0
B,0.9949044585987261,0.97625,0.9854889589905362,800.0
C,0.9137931034482759,0.59625,0.7216338880484114,800.0
accuracy,0.8452083333333333,0.8452083333333333,0.8452083333333333,0.8452083333333333
macro avg,0.8670310071806192,0.8473333333333333,0.8433360683360748,4800.0
weighted avg,0.8645370413883724,0.8452083333333333,0.8421587090150778,4800.0
