,precision,recall,f1-score,support
H,0.8515185601799775,0.94625,0.896388395500296,800.0
I,0.9923664122137404,0.975,0.9836065573770492,1200.0
O,0.9863138686131386,0.9008333333333334,0.9416376306620209,1200.0
B,0.9494584837545126,0.98625,0.967504598405886,800.0
C,0.9664596273291925,0.9725,0.9694704049844237,800.0
accuracy,0.953125,0.953125,0.953125,0.953125
macro avg,0.9492233904181123,0.9561666666666667,0.9517215173859352,4800.0
weighted avg,0.9559095154173336,0.953125,0.9535382801582017,4800.0
